"""","家計外消費支出(列)","民間消費支出","一般政府消費支出","県内総固定資本形成公的","県内総固定資本形成民間","在庫純増","調整項","移輸出","合計"
"01 農林水産業","0.005890276290169827","0.11515685871983632","0.005381494046672676","0.0012848966539204117","0.008329064669680461","0.007401492946480815","0.00039845072290614083","0.8561574659503334","1.0"
"06 鉱業","0.0004888463343419801","0.022509172717526355","0.0034007099605097087","0.002116073748162663","0.002570584353603166","0.012106331468934523","0.0009160375740127376","0.9558922438429088","1.0"
"11 飲食料品","0.013101670248969513","0.26719274042999935","0.007386296259128284","0.0000663355214807266","0.00015289044996785988","0.002447500702561861","0.0004832697338269451","0.7091692966540655","1.0"
"15 繊維製品","0.0010498481188025578","0.03470273478307139","0.003065092152342131","0.0006887641365758193","0.0038477213515821463","-0.00046375612987520197","0.012310563932629737","0.9447990316548713","1.0"
"16 パルプ・紙・木製品","0.004647642537546697","0.05929447594124447","0.025906575853374036","0.03255822744183996","0.04599696688663709","-0.0004002492054567497","0.0009661752629512715","0.8310301852818631","1.0"
"20 化学製品","0.0013312465026759854","0.024454309801411143","0.02729666804301409","0.0010461337962586956","0.0015182311110695946","0.004200727889855667","0.008328390340732532","0.9318242925149822","1.0"
"21 石油・石炭製品","0.0007549660140268347","0.04624746962278578","0.005545264244606096","0.0033963421701739614","0.004151425207106923","0.011038488391610025","0.0016727039773093543","0.927193340372381","1.0"
"22 プラスチック・ゴム","0.0013318012849757605","0.03390141209305815","0.007649862856546608","0.006250193459105628","0.008782615552408682","-0.001842571931083757","0.004664904283956068","0.9392617824010328","1.0"
"25 窯業・土石製品","0.0020193750379602807","0.03330122116853959","0.012218744192237965","0.09632593365205691","0.10481794437094528","-0.005018306065826997","0.0029210178925094697","0.7534140697515774","1.0"
"26 鉄鋼","0.00018240873258014686","0.005898228503627477","0.0023587040141685896","0.008801718117255499","0.009899214585762352","0.02474579727068791","0.0021664931833272876","0.9459474355925908","1.0"
"27 非鉄金属","0.00007006316802157475","0.002841623330122547","0.0009703773002743285","0.001938956472532667","0.002702687878715563","-0.00114194338216664","0.010197846179301452","0.9824203890531986","1.0"
"28 金属製品","0.0007440534152883918","0.01179643318927035","0.0033879053623423624","0.022769443701975742","0.028204398726401007","-0.0005466341781022473","0.0016016640516808144","0.9320427357311436","1.0"
"29 はん用機械","0.00003404315264957326","0.0013834481374954582","0.00044647641489993083","0.001930455731544302","0.025528926508376786","0.0018295661620010685","0.003534209735487552","0.9653128741575453","1.0"
"30 生産用機械","0.00007321238881914979","0.002484424867446885","0.000955582122653535","0.0015533193071292225","0.05965012986390527","-0.0007345811199212177","0.00938839512066067","0.9266295174493066","1.0"
"31 業務用機械","0.0013102173768455535","0.040956992011011294","0.06329795766218918","0.008962689158345215","0.1332135860614285","-0.0016069994564835315","0.005352229069681712","0.7485133281169821","1.0"
"32 電子部品","0.0006529644142679213","0.028670194335774286","0.01270819032805258","0.003738863063660656","0.012207949828847637","-0.00038575094757457975","0.009046952099495065","0.9333606368774764","1.0"
"33 電気機械","0.0009846325711032299","0.0752555977883722","0.002446656918141787","0.008681337437404055","0.07089274869800584","0.0043299583870076985","0.010510037564231993","0.8268990306357331","1.0"
"34 情報・通信機器","0.00006334351090664519","0.003363065664653817","0.00005350754037308175","0.000595608139227713","0.00224523302708486","-0.0001519235223898652","0.004143861186637514","0.9896873044535062","1.0"
"35 輸送機械","0.0006200723393074391","0.17234169077579176","0.014120549314510022","0.008417817071099024","0.14890858959779507","-0.005288232158184468","0.008453048914675012","0.652426464145006","1.0"
"39 その他の製造工業製品","0.015345217636455969","0.2256630100547689","0.0636613261866854","0.011919642733702622","0.04754625208490095","0.00022691189412846004","0.002119666530723148","0.6335179728786345","1.0"
"41 建設","0.0008744051224133711","0.04821454244480485","0.015291411604516308","0.4369721779226453","0.4626054813554508","0.0003792948367562046","0.00012033930952678162","0.0355423474038864","1.0"
"46 電力・ガス・熱供給","0.009552215818984357","0.3526580379175117","0.05979593957093676","0.009164455525636887","0.015662735496089146","0.0031511644587112007","0.001193629930200465","0.5488218212819295","1.0"
"47 水道","0.015372527714113586","0.8445189715680443","-0.05493033194291522","0.008456627331683862","0.014834334966116457","0.0013149662657068305","0.0005900635740027831","0.16984284052324744","1.0"
"48 廃棄物処理","0.02403916710572969","0.2259235538107651","0.5611867365991718","0.015477236567272326","0.02227520620999243","0.0007178432309304996","0.00046829474052649013","0.1499119617356115","1.0"
"51 商業","0.019462754388933183","0.5198050712976198","0.03662804359019859","0.022600136156742574","0.069075333077326","0.0034607356090762655","0.0007978014006318245","0.32817012447947186","1.0"
"53 金融・保険","0.003635076700377636","0.7440298539009755","0.06636064754161279","0.015648521702211794","0.02094547050328189","0.000994333927312964","0.00043334468433049494","0.14795275103989664","1.0"
"55 不動産","0.0029378766225858916","0.9199531238128487","0.026152133308040466","0.0036057939728589617","0.006592772538726016","0.00030964298547199757","0.00010907278175975388","0.040339583977708364","1.0"
"57 運輸・郵便","0.012729909748414389","0.3052703949173837","0.05797147519022639","0.026400820177923796","0.04273881234989092","0.0044117171470814676","0.0007867381980524485","0.5496901322710269","1.0"
"59 情報通信","0.009321680181365524","0.48531555649185143","0.06576299034715223","0.03246402129226654","0.15501122835994516","0.0005149471033174613","0.00036872658648830046","0.25124084963761356","1.0"
"61 公務","0.00008316562182904971","0.037373738418068674","0.9516216491737653","0.0009129951126111272","0.0011498155188584954","0.0000321329430850824","0.000014155103665086514","0.008812348108117185","1.0"
"63 教育・研究","0.0008032061130583054","0.17022822979954544","0.5629768245391348","0.0033228796268388082","0.007748917096685516","0.0013301928571254234","0.001356763901105785","0.25223298606650574","1.0"
"64 医療・福祉","0.008181767448487339","0.20347875083735853","0.7876737235570619","0.00003555204677207067","0.0000846354911745536","0.000003546707291083795","0.000000820288048233259","0.0005412036238062768","1.0"
"65 その他の非営利団体ｻｰﾋﾞｽ","0.0032757809254765086","0.6416269214322743","0.015875228592928736","0.0053859757677416995","0.0077277183192144385","0.0005609860529643254","0.0002606663299910508","0.32528672257940894","1.0"
"66 対事業所サ－ビス","0.010750443016409433","0.3451051317700787","0.14200347171668798","0.06328768675523344","0.1082252099380702","0.0020320247510612175","0.0011906831585403637","0.32740534889391865","1.0"
"67 対個人サ－ビス","0.14627356136860967","0.6373077795683015","0.022981611993712268","0.0006700804262455076","0.001274981579634664","0.000030993542628647195","0.000026122566148043138","0.1914348689547198","1.0"
"68 事務用品","-","-","-","-","-","-","-","-","-"
"69 分類不明","-","-","-","-","-","-","-","-","-"
"　　平　　　均","0.013075464956209107","0.325535634790867","0.18391083722459076","0.03552321382399098","0.0508040273505354","0.003664835057656857","0.00125378506002298","0.386232201736127","1.0"
